customer_id,age,income,education_years,credit_score,loan_amount,employment_length,debt_to_income,previous_defaults,marital_status,employment_type,loan_purpose,target
18,38,17293.000149531123,7,366.0,6346.8274864989335,0.10688342646065477,0.19617030791144446,0,Married,Full-time,Education,0
19,24,18766.456864822852,15,604.0,1857.118363487568,2.7144458623667482,0.44913864582325574,2,Single,Unemployed,Home,0
20,18,27230.22839348559,10,705.0,2709.292223847981,7.477535105010256,0.6101698195404855,0,Married,Full-time,Business,1
21,52,28607.315305595086,14,770.0,89837.8291640906,2.0679876018768097,0.3816342373101088,0,Married,Part-time,Car,1
22,32,16533.600745394462,14,603.0,6276.601288068671,4.147551195076277,0.16599647815123073,2,Divorced,Self-employed,Personal,0
23,35,21759.86950348723,18,608.0,2310.1223915072287,1.1469352121871297,0.4222238392617456,0,Divorced,Self-employed,Home,1
24,17,64288.444340343995,10,765.0,28803.765409826505,6.773889151840154,0.3516621710476655,0,Single,Full-time,Personal,0
25,28,52248.767709949076,4,463.0,92892.87130413296,0.26847616402905344,0.4385504658183115,0,Divorced,Self-employed,Home,0
26,36,273962.61318518844,14,611.0,15218.248160799045,9.571081314024369,0.29947220320026235,0,Single,Part-time,Business,0
27,21,22449.008762646306,19,669.0,27384.21661806102,1.1044578597567232,0.03334438932643567,0,Widowed,Full-time,Business,1
28,39,23388.872717600992,17,694.0,2037.065126492444,10.373186769794065,0.06551680048141417,1,Single,Part-time,Education,0
29,27,299342.61901976983,14,599.0,29808.148693756924,2.173408233689405,0.18855575388859505,1,Married,Unemployed,Home,0
30,31,13208.339869998128,12,653.0,43091.67572435212,6.41298047170358,0.15283485490707982,0,Single,Part-time,Car,0
31,27,19366.72626024665,16,401.0,42304.08628003247,1.9226193066188233,0.3283251320222436,1,Widowed,Part-time,Business,0
32,57,9563.489625813629,11,584.0,20205.303514005842,11.817606351034765,0.10520765403431043,1,Married,Part-time,Education,0
33,34,26892.737865119754,15,695.0,18955.755486777096,0.6770207286243114,0.43673415289193784,0,Single,Part-time,Business,0
34,-5,,15,551.0,5637.365377439869,0.9832371549431606,0.2708874072696613,0,Divorced,Unemployed,Personal,1
35,44,17299.04832488169,17,655.0,22848.314940464516,3.3965184780773825,0.2005124400991461,0,MARRIED,Full-time,Business,0
36,20,48387.33484208845,22,9999.0,5239.9597099079365,0.42745415369379364,0.33373998408717187,1,Divorced,Part-time,Home,0
37,37,,15,615.0,72749.20922196849,1.0906568210677239,0.37941846651538813,0,Single,Full-time,Education,1
38,11,10591.558129177345,12,667.0,169474.75271097955,14.391202598203579,0.3916624256798965,0,Single,Self-employed,Home,0
39,19,24642.45159578017,13,9999.0,175452.14356009522,18.75157501714209,0.3523056884007033,1,Widowed,Part-time,Car,1
40,37,,8,629.0,100150.36506594137,2.3601029443531156,0.3598931539986206,0,Married,Part-time,Car,0
41,43,51121.674548780866,11,711.0,45913.65343776415,12.83835665928019,0.10977768428106588,0,Married,Self-employed,Business,0
42,37,17510.5330700456,12,665.0,60343.131667104855,3.9353630303038423,0.31525978537010246,0,Married,Full-time,Education,0
43,33,37772.644030656746,12,,16788.030681875032,1.5717901028996244,0.28868427700099236,0,Married,Unemployed,Education,1
44,31,21606.419859924314,14,672.0,49816.83304268637,6.060003392941046,0.4410095950589417,1,Single,Part-time,Education,1
45,17,20205.019649715854,11,721.0,30408.101447615034,5.377924429459355,0.23098670794181725,0,Single,Self-employed,Education,0
46,26,34263.29586312594,17,445.0,32890.67558778897,22.60659022884858,0.4305450590137131,1,Widowed,Self-employed,Business,0
47,29,30520.731078985827,14,765.0,70894.73372868667,1.5397455922512935,0.3600801505110385,0,Married,Part-time,Home,0
48,47,10014.646210429819,13,616.0,16558.600276558296,5.574615488044748,0.29820374710933634,0,Single,Full-time,Business,0
49,39,,13,692.0,19139.185224449946,0.26712917544506565,0.11032125402614003,0,Single,Full-time,Home,0
50,13,43916.512929539575,14,769.0,129275.12083135064,0.603194516504489,0.1518890752929192,1,Single,Part-time,Personal,0
51,38,16110.373322551102,16,512.0,2893.3370772913336,0.01963035947571443,0.390328238498523,1,Single,Self-employed,Personal,0
52,30,26846.79609425847,11,579.0,33241.03924119852,37.626017180160936,0.33110688613123673,0,Married,Part-time,Home,0
53,26,28198.24703575365,12,621.0,121978.0063549285,8.10435756691717,0.2008776114080248,0,Married,Unemployed,Business,1
54,42,25092.8163487623,13,571.0,47126.988129455,7.7258177887444335,0.04897961730116127,0,Single,Unemployed,Car,0
55,47,16728.136868534344,9,823.0,39527.75611979838,3.5639550702620753,0.12330677773666152,0,Divorced,Full-time,Business,0
56,46,15743.585886904162,11,564.0,14367.051812518892,1.7838539062651906,0.3349205797884951,2,Widowed,Unemployed,Car,0
57,24,21746.823165755894,12,594.0,21024.533103929676,0.8200371512553224,0.1397202806821597,0,Married,Self-employed,Business,0
58,31,39591.293407800535,16,,95543.50962767268,1.675089645121938,0.5791007161606667,0,Married,Unemployed,Education,1
59,38,28905.873169087583,14,529.0,40960.25778827217,2.3577939648642072,0.7419448036885942,0,Divorced,Part-time,Education,0
60,46,18300.667873019036,14,610.0,36153.748500393165,7.05929375608539,0.229838746712316,0,single,Self-employed,Personal,0
61,29,32397.915241891664,16,681.0,5244.68198529216,3.8789690907087016,0.4154026027994106,0,Divorced,Full-time,Personal,0
62,32,5301.413116120211,13,616.0,807.8998311470881,0.403250771168098,0.3325062048861093,2,Divorced,Full-time,Home,1
63,21,39119.754563349015,15,,165776.47978903976,0.0909675587768132,0.426517797894386,0,Single,Unemployed,Car,0
64,20,,13,597.0,23659.327852463404,0.5397759475397189,0.6609010846342681,0,Married,Full-time,Education,0
65,44,18375.61015599978,14,498.0,46217.79113553947,2.642391884919933,0.2930990674380786,3,Widowed,Part-time,Business,0
66,51,12583.793724118537,12,682.0,4153.597691492223,13.529730859301143,0.013338125594690553,1,Divorced,Self-employed,Home,0
67,34,11529.442525022754,6,825.0,57460.70464472279,5.0723091175610815,0.33712256543589203,0,Widowed,Part-time,Business,0
68,47,39356.38072012048,13,651.0,134830.8223448412,8.093046705408582,0.5170278545537692,0,Single,Part-time,Education,0
69,39,17433.50832929949,18,672.0,42861.6318795958,3.1403058700794606,0.057227944692269175,0,Married,Part-time,Education,1
70,27,26193.11688354882,16,719.0,6740.342991521535,2.244468759905774,0.6068938944826024,1,Single,Part-time,Education,1
71,39,21515.732927148645,16,523.0,43580.39330275023,0.5736904775085802,0.6435601389477845,0,Single,Self-employed,Education,0
72,53,27959.726476034142,17,9999.0,72695.95411285781,10.434668577712703,0.44023672812312487,0,Widowed,Self-employed,Business,0
73,34,,14,670.0,26078.87228134402,7.642978292289252,0.07909472550479474,0,Widowed,Part-time,Home,0
74,53,11597.025106940877,14,813.0,105945.61744885315,0.9203239623199939,0.26411880581258146,0,Divorced,Part-time,Education,0
75,3,36247.779735224074,12,576.0,52303.30982140459,3.5898697904818238,0.1450596760975019,0,Married,Full-time,Personal,0
76,44,,13,831.0,114755.11708146917,3.3410516028677923,0.34464245759930123,0,Single,Full-time,Home,0
77,36,10114.3354771351,15,727.0,48842.566937016505,4.905367116581393,0.12057825936537216,0,single,Self-employed,Personal,0
78,31,,17,705.0,7037.179592046166,14.611191176855813,0.5177780423520806,1,Divorced,Full-time,Business,0
79,36,46647.746348232205,13,673.0,18530.849283724732,4.334782647202849,0.2290506178869762,0,Single,Self-employed,Education,0
80,11,33695.206674861125,12,625.0,11269.487873151105,3.8850061008037162,0.21150460958675008,0,Single,Self-employed,Home,0
81,32,18502.736754406324,14,770.0,119749.5484629651,0.2581664079077831,0.19627872082327022,1,Divorced,Unemployed,Education,0
82,39,18497.135252153603,15,664.0,71439.23467867238,0.32486628353639413,0.18236175387586814,0,Single,Self-employed,Education,1
83,52,18754.377567050407,9,453.0,56412.10266796739,1.03725409016712,0.2522517475269617,0,MARRIED,Full-time,Home,0
84,28,62216.405114932364,7,538.0,17902.817713168635,0.1650482219839466,0.04065240918944571,1,Widowed,Unemployed,Education,1
85,25,26661.283240215274,12,631.0,10169.789661595642,6.800266361068422,0.3578187963663263,1,Married,Full-time,Education,0
86,28,27310.34435745078,10,680.0,70621.87429746098,6.424654587500687,0.15550326169247852,1,Divorced,Self-employed,Car,1
87,45,36869.56625604497,12,644.0,32137.71943366735,0.7312379922200576,0.4235698184514463,0,Single,Self-employed,Car,0
88,38,24819.739906493418,13,771.0,12795.57729516671,9.041850346675423,0.44685219369483503,1,Divorced,Part-time,Home,1
89,28,19350.604283459208,12,454.0,47936.68871942186,0.8408273523907364,0.4449458737235301,0,Married,Self-employed,Home,0
90,41,19966.77808141838,18,664.0,2058.4908823963647,1.7917788286239884,0.3495493880605239,1,Divorced,Unemployed,Education,0
91,36,,14,468.0,19738.89012717029,1.4315943379318878,0.3159843982220047,0,Divorced,Self-employed,Personal,0
92,46,21620.319774096464,14,725.0,31607.966021174845,2.3285212129259336,0.49764687439639277,1,Divorced,Part-time,Home,0
93,26,31691.848187233165,15,640.0,8005.99248605534,1.4695992073208732,0.35301906041150677,0,Widowed,Self-employed,Education,0
94,31,22606.052132954228,10,691.0,208846.57736152672,3.356448295112079,0.348523207774895,0,Married,Self-employed,Personal,0
95,30,31771.344259844616,17,563.0,11729.020464797122,2.6162447177544967,0.39836736091044056,0,Married,Self-employed,Car,0
96,17,21155.214656464086,13,777.0,6983.402316664269,21.55113176255523,0.5924717736409679,0,Divorced,Part-time,Home,0
97,38,22909.743860999522,16,754.0,11378.596725190913,0.28775548473995305,0.6535663036221161,0,single,Full-time,Education,0
98,38,8110.37720993666,10,708.0,73280.1124599146,0.7668129811598556,0.06796828775507222,0,Married,Self-employed,Car,0
99,35,34827.54366573205,9,637.0,27713.25162598201,0.2713617627255768,0.44717098881103223,2,Single,Unemployed,Business,0
100,-5,26192.915120937298,16,707.0,41668.29443337637,4.915374796716641,0.11589173380314252,1,Widowed,Part-time,Car,1
101,18,36279.388712573236,15,,1061.649495164864,0.2802560155457589,0.28143334907335055,0,Married,Unemployed,Education,1
102,29,5176.437259631672,11,735.0,1751.901684096702,9.052868889069899,0.11956740938013885,0,single,Self-employed,Personal,1
103,30,62579.144860624205,11,814.0,29513.787489697017,3.5865706211819246,0.19888562321116215,2,Single,Part-time,Business,1
104,25,20541.5549869722,17,757.0,84819.34907777897,3.7433800512140976,0.07044139226118197,0,Single,Self-employed,Business,0
105,33,38333.95777659277,10,,108245.12585782784,4.123055076990261,0.4551597928900048,0,Single,Unemployed,Business,1
106,39,13095.802479580074,18,686.0,4534.902818547664,0.9365521405558402,0.379625712051158,0,Widowed,Part-time,Home,0
107,57,29923.127415087292,11,520.0,38648.831609652516,1.1013029496847833,0.6618131445009781,0,Widowed,Full-time,Education,0
108,37,13007.640810184801,15,707.0,122224.5361819772,1.9196238022691656,0.44064618606645983,0,Married,Full-time,Business,1
109,38,16124.828720968164,13,695.0,24548.923925152416,4.500812664333628,0.06948792611562547,1,Married,Full-time,Car,0
110,34,57355.02146327884,15,463.0,88470.30824508789,1.179357140518704,0.5095985612755747,1,Married,Self-employed,Personal,0
111,11,20023.438665198617,12,533.0,7175.949691092815,0.6183677185453798,0.1493362462553793,0,Married,Part-time,Education,0
112,34,24556.12116064593,13,621.0,136972.77862856368,17.552308606412733,0.314720980619649,2,Divorced,Unemployed,Car,0
113,35,34031.22843198768,14,,69600.19498419615,0.11113507428000827,0.10387418789996018,0,Widowed,Unemployed,Home,0
114,64,28221.544200561264,10,529.0,141795.08158214003,8.115083575917927,0.5929483893002673,1,Single,Self-employed,Business,0
115,32,23746.95171947688,16,688.0,56445.931095929824,7.756674089693121,0.14932316516690733,0,Divorced,Self-employed,Car,0
116,38,26435.960468765785,12,,22580.997035765522,1.7635150258873602,0.17296957661999926,0,Married,Unemployed,Education,0
117,34,73255.4401674486,13,630.0,139177.36546059395,0.7287522306612642,0.5397535652724146,2,Married,Part-time,Car,0
118,20,21400.95019122219,11,574.0,16118.284514397421,0.7869466989282824,0.20638116668271503,0,Divorced,Self-employed,Home,0
119,48,24356.390152853255,6,754.0,20186.27026807612,5.9772398416931924,0.5549298642100525,0,Single,Part-time,Personal,1
120,44,37247.019158078474,13,815.0,60333.55841550835,5.1473894111949345,0.26469616515204925,0,Widowed,Unemployed,Business,0
121,44,38283.0671513851,21,601.0,72475.83134383784,7.633433018244213,0.20752197434122818,1,Widowed,Part-time,Education,1
122,24,39875.411220755544,16,588.0,132538.72410029024,13.861437629948004,0.053680119741308374,0,Single,Full-time,Business,0
123,51,30314.00545721742,13,699.0,11458.232657080353,5.887098451314484,0.44520273384232933,0,Widowed,Unemployed,Business,0
124,18,12437.825396219903,13,614.0,79973.89274953654,0.8471344764783593,0.6184913264668911,0,Married,Full-time,Business,0
125,-5,49847.10832328688,14,636.0,67074.85617017292,1.3948844752435996,0.3079636847431777,1,Married,Unemployed,Car,0
126,61,12417.068580196934,15,723.0,3296.016770357838,9.231935715261264,0.6201983383691245,1,Married,Full-time,Car,0
127,23,25624.846665040684,10,459.0,24487.721217014237,1.1742216702772108,0.15909065280331444,2,Married,Part-time,Personal,0
128,28,15106.223270096287,17,781.0,16617.61874013243,0.3764327309823805,0.3646050375441866,1,Single,Unemployed,Home,0
129,36,21331.301494733918,16,,18155.524985529282,6.074832639664823,0.1976561346945491,2,Widowed,Unemployed,Education,0
130,28,25961.792193163918,16,608.0,203571.10373393193,2.5752255287813046,0.5660612912767989,0,Widowed,Full-time,Car,0
131,16,25865.843866827363,15,641.0,51469.80999199005,12.631147132512623,0.2127014778705359,0,Divorced,Part-time,Business,1
132,35,27199.67699739051,14,,63235.02451526385,5.252755823686311,0.3177348235421192,0,Single,Unemployed,Home,0
133,22,49358.02445242966,16,476.0,187788.6636113732,0.4738560032525738,0.45414648296824117,0,Widowed,Self-employed,Education,1
134,40,27633.032084712733,15,799.0,23676.635051643705,14.76878517772499,0.545266438474012,1,Widowed,Full-time,Education,1
135,23,19495.163387070563,12,654.0,80934.0671943102,1.4957867357159795,0.6096707303826775,1,Divorced,Unemployed,Education,0
136,53,35669.226175967386,12,694.0,28504.986938955608,2.056504192586014,0.0540647978366633,2,Married,Part-time,Education,1
137,25,39924.09257012322,14,745.0,101832.00535417038,2.573000471326034,0.45879491919932563,0,single,Part-time,Personal,1
138,31,11922.660266411584,18,547.0,9962.657002461488,0.2629142928765788,0.2797013575382582,0,Married,Part-time,Education,0
139,44,29693.992598622594,10,697.0,147524.7320979194,3.431010986717417,0.3072771084580013,0,Divorced,Part-time,Home,0
140,20,31275.376422546327,9,623.0,12344.393254175555,0.6580575614469336,0.32623161549080326,1,single,Full-time,Car,0
141,37,18981.4648599679,14,734.0,19742.619164583437,2.5622207200538636,0.10722526643173298,1,Married,Unemployed,Home,0
142,50,43820.34151277915,14,437.0,70568.7604450796,2.1593774713247766,0.3770639818680073,0,Single,Full-time,Business,0
143,15,20434.34221785522,14,640.0,25023.565884951848,7.410505156158739,0.16405303958143092,1,Married,Full-time,Personal,1
144,37,23453.809829048987,14,589.0,46851.640553577745,8.127087331620938,0.09330735258658554,2,MARRIED,Part-time,Personal,1
145,38,20200.529337204604,13,693.0,29400.949690668094,0.8327108381471462,0.42918851852003115,1,Married,Self-employed,Business,0
146,44,22198.711459050508,18,697.0,67811.52938586439,2.2828804169992005,0.4391404412077546,0,Married,Part-time,Home,0
147,20,12731.855723708559,9,579.0,12959.995220950263,2.336860761356089,0.4907174735759635,0,Single,Self-employed,Home,1
148,19,10721.159152781827,11,578.0,3011.815432946526,0.8208982677202443,0.23375009773159186,0,Divorced,Full-time,Business,0
149,41,48886.30288438258,13,638.0,17828.70441360368,8.008675900249564,0.5873590601705874,0,Married,Part-time,Education,0
150,38,14422.133092081614,9,560.0,32152.052691357807,6.141811256774967,0.27353861055878254,1,Married,Part-time,Education,0
151,38,,13,734.0,9197.346982224508,1.0559624176961988,0.5338089235523403,0,Widowed,Full-time,Car,0
152,39,7504.851395946262,18,613.0,21909.53659796779,2.284228151977149,0.4977652419867526,0,Widowed,Part-time,Home,0
153,26,16002.802244297542,14,359.0,25539.866066122806,0.559157172928912,0.19639232316728122,0,Single,Unemployed,Home,0
154,37,11366.83408404054,14,612.0,2955.2305768193455,4.947084737564512,0.20698281621196843,0,Single,Self-employed,Business,0
155,38,50061.50257757583,10,546.0,43770.30674777809,0.646967965959302,0.3092807852183382,1,Single,Self-employed,Business,0
156,26,36494.19714750097,12,486.0,107856.50325194624,21.320033646448614,0.6464823574417933,0,Widowed,Self-employed,Education,0
157,57,,12,526.0,8228.576022456811,7.58616444064644,0.2201679526464557,0,Married,Part-time,Home,0
158,40,67928.97158065368,13,9999.0,45541.28628821411,2.4734373159619567,0.3283080109753143,0,Widowed,Unemployed,Home,1
159,20,35985.909696245144,17,782.0,54642.3278610986,4.3204359552504235,0.33252998755671026,0,Divorced,Part-time,Personal,0
160,42,18724.428893592976,15,681.0,27179.03650679673,12.114834675295006,0.21432489810933478,0,Single,Self-employed,Car,0
161,23,6312.563560753703,10,589.0,60381.906900471564,4.038294767629455,0.572961885670593,2,Single,Part-time,Car,0
162,44,69249.50571228468,14,695.0,26443.670781082583,0.9588209103286864,0.20519381117795477,0,Single,Self-employed,Education,0
163,48,10995.196412358911,15,604.0,35123.251659203095,2.3797331141513784,0.3413790661984561,2,Divorced,Full-time,Home,1
164,25,,17,580.0,369.01057206735067,9.26216303392993,0.36965400535978404,1,Married,Self-employed,Personal,0
165,46,36727.652190269466,18,534.0,58837.35941515056,5.167115433700033,0.44574191783478245,1,Married,Full-time,Home,0
166,39,74598.539120847,10,474.0,54138.32676009014,5.259469693747764,0.3298240899255619,0,Married,Full-time,Business,1
167,44,44008.426646424145,11,611.0,1957.8813781308681,10.080324189271844,0.1697069302969916,0,Single,Full-time,Education,0
168,57,29200.892709324115,10,665.0,22963.085135505065,11.220310211425007,0.5634015339795546,1,Married,Self-employed,Car,0
169,32,29654.737452393576,13,,193237.51100352616,12.615695735973556,0.010196305733309296,0,Widowed,Unemployed,Home,0
170,25,33749.05781742138,15,608.0,27299.89589780929,0.4982685593766578,0.24975737013497698,5,Single,Self-employed,Education,1
171,24,32191.71160713422,16,555.0,34852.27898584538,3.9276941387285094,0.28196937401071487,2,Divorced,Part-time,Car,0
172,25,25351.564218429794,13,710.0,120358.49445762417,6.7451763383933505,0.40258254268631727,0,Divorced,Part-time,Home,1
173,34,23204.477900350423,13,518.0,63161.70830807772,7.071964160438392,0.19538293948857569,1,Married,Unemployed,Personal,0
174,-5,21347.788625882476,14,727.0,43622.081917139956,4.666118976665835,0.39933212326921586,1,Single,Unemployed,Education,0
175,38,15108.574443282618,11,549.0,79926.0562348389,0.9123318474960866,0.32099579652469723,0,single,Unemployed,Home,1
176,44,19142.427040018945,20,574.0,99889.85809830007,7.98311571580673,0.39945070041779657,0,Widowed,Full-time,Car,0
177,35,9447.652650902419,9,503.0,30521.992544632416,6.366816872903973,0.4488438519283061,0,Single,Unemployed,Car,1
178,52,,14,599.0,32228.172354491813,0.4503663255733752,0.37861394276732835,1,Married,Unemployed,Personal,1
179,31,13436.154457010318,20,747.0,24392.165568190227,3.1163318806382896,0.4650848299745363,0,Divorced,Unemployed,Education,1
180,67,12685.378898474215,14,701.0,170119.11419677435,0.9556657224086265,0.34548953893602097,0,Divorced,Self-employed,Education,0
181,42,24099.516946802796,13,747.0,59728.56590439909,2.0585003687078367,0.164556678652816,0,MARRIED,Part-time,Home,0
182,24,44178.8365879547,12,702.0,4344.554640734275,0.09123276329167063,0.1366464192248491,0,Widowed,Part-time,Car,1
183,22,34862.195688846106,13,539.0,99373.98381162951,2.556877778177016,0.36716886306510804,1,Widowed,Unemployed,Car,0
184,-5,100441.9061594618,18,616.0,32750.192844142206,3.9911711253632975,0.1466526371833348,0,MARRIED,Part-time,Personal,0
185,32,,7,571.0,3561.5852056629983,4.832430945883536,0.03959656491633954,0,Widowed,Self-employed,Personal,0
186,43,35255.80917643928,18,783.0,39893.978583499826,5.445642191347343,0.5967975038025918,0,Divorced,Part-time,Education,0
187,40,13477.222311170695,9,530.0,26992.49572296216,9.0483336502684,0.6429565418317447,0,Divorced,Full-time,Car,0
188,34,19686.402047589,13,739.0,105084.11412198089,1.2133071296641869,0.14532007470929792,0,Married,Self-employed,Home,0
189,24,28999.27328487185,12,739.0,11407.46568877711,0.641905234774826,0.2151998557400064,3,Married,Part-time,Business,0
190,16,,15,832.0,87568.68602620722,9.537103339422808,0.16813499932082843,0,Married,Part-time,Home,0
191,29,23218.10759652445,9,609.0,40787.06631177119,0.8516456605443072,0.35865151241403903,0,Widowed,Self-employed,Personal,0
192,45,11304.851541779686,15,721.0,2807.9029470381956,18.39664231913008,0.16118621192947327,2,MARRIED,Part-time,Home,1
193,37,16306.452673913127,20,878.0,178502.05113559822,9.242862882599038,0.1980749629322979,0,Widowed,Part-time,Car,1
194,20,25845.478897842808,9,,35935.07073255474,3.4745096550679637,0.42307013488049805,1,Divorced,Unemployed,Education,0
195,37,,14,496.0,17186.303907754373,19.928731198560126,0.10168847227389954,1,Married,Full-time,Business,0
196,39,27453.182244509848,12,461.0,31687.98660887132,0.5122500492822375,0.3039864056944973,1,Married,Self-employed,Education,0
197,24,21811.24846937857,15,721.0,97546.35990236144,1.8053211078049358,0.0932043709013969,3,Widowed,Unemployed,Business,0
198,36,29034.642854345922,14,461.0,18185.202687856585,5.083655952222431,0.13766859448242402,0,Divorced,Part-time,Business,1
199,35,24635.827554156407,12,612.0,10701.534770501978,2.153967415150488,0.08085886008776844,0,single,Self-employed,Car,1
200,21,43567.651460591216,15,693.0,6909.755223875761,13.181384631263246,0.2637039916695148,0,Single,Self-employed,Car,1
201,39,23449.682898335446,19,668.0,17681.08039088484,0.33939293504393053,0.2999989955419524,1,Widowed,Full-time,Personal,0
202,41,17770.538586451563,13,692.0,75717.31669880259,3.986007548931429,0.02798350076654308,0,Married,Full-time,Personal,0
203,47,23415.38939231112,16,672.0,31897.580193027465,4.468566008999014,0.2504144814476039,1,Divorced,Self-employed,Business,0
204,47,28901.506897355484,10,777.0,12904.972825242003,5.2882365042514445,0.07901370765622755,0,Divorced,Full-time,Personal,0
205,18,22571.199973876428,11,554.0,9087.18616517926,1.4763286009847019,0.6539070556854912,0,MARRIED,Full-time,Car,0
206,23,,15,582.0,20227.986642481523,2.267238608890388,0.4509939487709603,1,Married,Part-time,Personal,0
207,41,15506.33852010768,18,572.0,140607.55292789033,9.279267395156431,0.3320008315966244,1,Single,Full-time,Business,0
208,41,15812.397151954865,15,733.0,21005.5959878204,1.0842095482182885,0.46022285720393047,1,Widowed,Full-time,Education,0
209,41,10923.780227788387,13,740.0,221662.10588711576,8.768500434639376,0.22138573813787707,0,Divorced,Unemployed,Home,0
210,81,52827.56361239853,13,695.0,33201.79826967874,4.1351694432532895,0.41973697615822614,0,Married,Part-time,Personal,0
211,41,11826.149078591923,10,768.0,9871.592316682496,7.1813638899858745,0.1423201089770203,0,single,Part-time,Car,1
212,48,15576.94789152418,15,532.0,110884.67346008841,6.25195782210051,0.2562395342290904,0,Divorced,Self-employed,Education,0
213,46,15379.586655070205,16,816.0,30842.222723172406,1.16288639276708,0.12757284673255387,0,Divorced,Full-time,Car,0
214,42,34456.81874418133,12,802.0,61837.08497195263,4.206063985039436,0.753457172358904,0,Divorced,Unemployed,Personal,0
215,31,19006.288191735213,12,723.0,205865.0525056161,10.114291127409912,0.03826143912083909,0,Single,Unemployed,Business,1
216,44,41104.42407162953,14,828.0,2573.8945354293114,2.8291926172999364,0.08385604092061551,0,Married,Part-time,Home,0
217,25,15728.894091296594,12,484.0,5084.726612342599,16.994615382776296,0.1472667855195153,0,Widowed,Full-time,Home,1
218,32,25323.727501244346,13,597.0,63729.91136049364,3.0093629376171926,0.5223169476065463,2,Married,Unemployed,Education,0
219,29,14506.128196569225,20,576.0,16552.100581501072,0.770336297096847,0.24067820649124144,0,Married,Self-employed,Home,1
220,35,64381.04676511177,13,722.0,10185.5175627672,2.466849985075385,0.16309698194543631,1,Married,Full-time,Business,0
221,62,12163.57112545343,12,544.0,2007.8753410000058,15.151867706575032,0.39366537538113805,1,Widowed,Full-time,Car,0
222,12,25717.0726329219,12,725.0,1104.444250936431,1.9262602468690337,0.7313887034077508,1,Married,Full-time,Business,0
223,43,30239.020547481072,16,787.0,74468.56389096142,10.128486341931131,0.19802573757255126,1,Widowed,Unemployed,Education,0
224,15,,13,719.0,7218.549460335216,10.653702882814676,0.42426472247948044,1,Widowed,Part-time,Education,1
225,29,20077.522215736495,12,678.0,31529.33847693525,2.1553495889210468,0.45313610974004515,0,Single,Part-time,Home,0
226,48,20642.134916705836,17,551.0,46557.12567820532,0.4346441277161916,0.16137387275917656,1,Divorced,Self-employed,Business,0
227,35,22514.295364787606,18,,27961.57563870309,6.446889345336491,0.08403141133803967,1,Widowed,Unemployed,Car,1
228,22,20465.565051756163,12,774.0,1374.0407330152611,1.866289122323049,0.17318531122180753,1,Divorced,Full-time,Business,0
229,26,35665.51585106736,8,727.0,76508.58359617664,7.637529896761742,0.3488472438861067,2,MARRIED,Self-employed,Car,1
230,43,66520.23730977906,17,646.0,528.4439450822711,2.92285284478043,0.26933320198233174,2,Divorced,Self-employed,Car,0
231,26,16668.13526059774,11,608.0,71751.10418121384,3.320532293976353,0.2190969919273949,1,Divorced,Part-time,Business,1
232,37,11104.420044103426,16,447.0,111888.81188318529,7.523349513208136,0.13844417239497292,1,Divorced,Full-time,Personal,0
233,35,21075.341269275308,8,542.0,28355.6844461547,2.409274543765256,0.14654278243889482,0,Married,Full-time,Business,0
